,,Net,,,Foreign Net,,,,Buy,,,,,Sell,,,,,Foreign Buy,,,,,Foreign Sell,,
Code,,Val (M),Vol,,Val(M),Vol,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG
AMRT,,42,200,,0,0,,7,200,42,2100,,0,0,0,0,,0,0,0,0,,0,0,0,0,
CNMA,,3,200,,0,0,,1,200,3,131,,0,0,0,0,,0,0,0,0,,0,0,0,0,
HOMI,,5,200,,0,0,,2,200,5,232,,0,0,0,0,,0,0,0,0,,0,0,0,0,
HUMI-W,,1,200,,0,0,,1,200,1,26,,0,0,0,0,,0,0,0,0,,0,0,0,0,
INPC,,3,200,,0,0,,5,912,15,168,,6,712,12,169,,0,0,0,0,,0,0,0,0,
TRIN,,2,200,,0,0,,6,201,2,94,,1,1,0,94,,0,0,0,0,,0,0,0,0,
TRON,,2,200,,0,0,,10,500,4,89,,5,300,3,90,,0,0,0,0,,0,0,0,0,
GEMA,,3,197,,0,0,,7,422,5,125,,4,225,3,120,,0,0,0,0,,0,0,0,0,
TAPG,,26,180,,0,0,,10,180,26,1431,,0,0,0,0,,0,0,0,0,,0,0,0,0,
INKP,,138,174,,0,0,,16,175,138,7904,,1,1,1,7925,,0,0,0,0,,0,0,0,0,
PGEO,,24,171,,0,0,,6,615,88,1432,,15,444,64,1445,,0,0,0,0,,0,0,0,0,
ANTMDRCG6A,,1,160,,0,0,,1,160,1,66,,0,0,0,0,,0,0,0,0,,0,0,0,0,
VICO,,3,130,,0,0,,7,730,14,189,,18,600,11,188,,0,0,0,0,,0,0,0,0,
AXIO,,2,120,,0,0,,2,120,2,127,,0,0,0,0,,0,0,0,0,,0,0,0,0,
CUAN,,15,119,,0,0,,300,23665,3611,1526,,160,23546,3596,1527,,0,0,0,0,,0,0,0,0,
INDYHDCJ6A,,1,110,,0,0,,1,110,1,118,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MDKAZPCF6A,,1,110,,0,0,,1,110,1,93,,0,0,0,0,,0,0,0,0,,0,0,0,0,
JMAS,,2,105,,0,0,,3,105,2,148,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ASGR,,12,100,,0,0,,1,100,12,1185,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ASSA,,8,100,,0,0,,2,100,8,835,,0,0,0,0,,0,0,0,0,,0,0,0,0,
GRPM-W,,0,100,,0,0,,1,100,0,15,,0,0,0,0,,0,0,0,0,,0,0,0,0,
KARW,,6,100,,0,0,,2,100,6,640,,0,0,0,0,,0,0,0,0,,0,0,0,0,
KING-W,,0,100,,0,0,,2,100,0,15,,0,0,0,0,,0,0,0,0,,0,0,0,0,
KOBX,,1,100,,0,0,,2,100,1,141,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SMAR,,59,100,,0,0,,12,100,59,5851,,0,0,0,0,,0,0,0,0,,0,0,0,0,
VAST-W,,0,100,,0,0,,2,100,0,14,,0,0,0,0,,0,0,0,0,,0,0,0,0,
CAMP,,2,94,,0,0,,4,94,2,212,,0,0,0,0,,0,0,0,0,,0,0,0,0,
GOLF,,2,85,,0,0,,10,85,2,215,,0,0,0,0,,0,0,0,0,,0,0,0,0,
APLN,,1,80,,0,0,,16,181,2,104,,3,101,1,105,,0,0,0,0,,0,0,0,0,
MAPI,,9,80,,0,0,,4,80,9,1171,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SFAN,,14,75,,0,0,,2,75,14,1915,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BMRI,,34,72,,0,0,,8,301,141,4680,,9,229,107,4652,,0,0,0,0,,0,0,0,0,
DFAM,,1,67,,0,0,,7,716,6,84,,14,649,5,84,,0,0,0,0,,0,0,0,0,
FAPA,,35,58,,0,0,,12,58,35,5956,,0,0,0,0,,0,0,0,0,,0,0,0,0,
KAEF,,3,50,,0,0,,1,50,3,510,,0,0,0,0,,0,0,0,0,,0,0,0,0,
XCID,,0,50,,0,0,,20,1408,10,74,,6,1358,11,77,,0,0,0,0,,0,0,0,0,
BVIC-W,,0,47,,0,0,,1,58,0,47,,1,11,0,48,,0,0,0,0,,0,0,0,0,
OBAT,,2,44,,0,0,,1,44,2,446,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SOCI,,1,44,,0,0,,1,44,1,192,,0,0,0,0,,0,0,0,0,,0,0,0,0,
